estagio,estado,coeficiente,intercept
5,299.07287909133504,-83.84782665518655,185943.3375021288
5,297.8684993419928,-83.84782665518655,186047.0337546801
5,170.4813649325305,-509.2551400141462,202928.97480607213
5,224.86250629770637,-84.49391358897907,192171.81421392882
5,286.5867212235929,-83.84782665518655,186992.986330714
5,299.1060563384349,-83.66692231372464,185946.2060834041
5,299.1874806783376,-83.52478318829029,185949.59924645902
5,299.07287909133504,-83.84782665518655,185991.7453320388
5,299.1874806783376,-83.62169622835911,185991.53962323963
5,299.1060563384349,-83.84782665518655,186010.0211529285
5,300.0,-83.65400057504884,185947.38557402915
5,299.07287909133504,-83.65400057504884,186088.1458765238
5,299.1874806783376,-83.53770492696613,186079.78135717733
5,300.0,-80.1849582483933,186012.22467584937
5,300.0,-80.53986155416867,186032.05491883404
5,299.07287909133504,-83.7289466593687,186110.61135047325
5,299.1874806783376,-83.84782665518655,186141.73202771792
5,300.0,-83.58939188166956,186083.65669757058
5,299.1060563384349,-83.84782665518655,186169.5761167463
5,300.0,-83.58939188166956,186105.74141501228
5,299.1060563384349,-83.58939188166957,186185.16451878034
5,300.0,-83.41494840954554,186112.0957035975
5,300.0,-80.19097460992084,186115.04979738264
5,300.0,-80.34603547403098,186126.53678226075
5,300.0,-79.99714852978302,186130.32569896025
5,300.0,-79.99714852978302,186143.6709184902
5,292.6105963753906,-83.33095710815256,186779.74443622833
5,298.58427144490753,-83.49247884160069,186287.3020055454
5,292.6105963753906,-83.46017449491102,186786.94280015858
5,292.08881148186333,-83.42787014822136,186831.89079537586
5,299.1060563384349,-83.42787014822136,186247.22931814648
5,298.39028423552014,-83.42787014822136,186313.3570508656
5,300.0,-80.11344417786562,186179.57614840873
5,300.0,-80.11344417786562,186179.73695095975
5,300.0,-80.01924470291871,186180.29000658085
5,299.07287909133504,-83.58939188166957,186262.38218904208
5,299.07287909133504,-83.59262231633849,186263.35078929827
5,292.6105963753906,-83.57000927365577,186804.24195138772
5,299.6640664735903,-83.52478318829027,186215.35674833998
5,300.0,-80.11344417786562,186189.65130340392
5,300.0,-80.11344417786562,186190.7586191813
5,300.0,-80.14445635068772,186191.30183262474
5,298.3902842355202,-83.36326145484209,186326.86125938044
5,299.1060563384349,-83.3632614548422,186270.58861325396
5,299.6640664735903,-83.39973177008085,186224.33080313427
5,300.0,-83.3966925771443,186196.35058519072
5,299.6640664735903,-83.52155275362126,186227.74023774383
5,300.0,-83.41730533468,186200.09262026244
5,300.0,-80.09800321701756,186200.93190884794
5,299.1060563384349,-83.44412776295378,186275.69805093447
5,299.6640664735903,-83.4214092788835,186230.04328465715
5,300.0,-83.41196607225916,186202.05528322706
5,292.6105963753906,-83.41328150525639,186818.542586076
5,299.07287909133504,-83.43691536529448,186280.9276379358
5,300.0,-80.0901850482491,186204.24469474785
5,299.1874806783376,-83.43067674986179,186272.18414009502
5,292.6105963753906,-83.52796968904774,186821.40239395134
5,300.0,-80.1240515039273,186204.48408921366
5,300.0,-80.11344417786562,186205.74664819322
5,299.1874806783375,-83.47172570229593,186273.7024159307
5,299.1874806783376,-83.47836281122767,186274.0718476211
5,292.6105963753906,-83.54010530467734,186823.36153971934
5,299.6640664735903,-83.46307154872221,186235.08817228442
5,299.6640664735903,-83.44582723002448,186235.15190217923
5,298.39028423552014,-83.47277319011998,186342.01978383597
5,300.0,-80.19934789658278,186208.21147055237
5,299.6640664735903,-83.54692587968523,186236.604033266
5,299.1874806783376,-83.53355379257306,186276.52630530988
5,298.39028423552014,-83.49725988491073,186343.6457138041
5,300.0,-83.52568254130215,186209.46863548557
5,298.39028423552014,-83.49807808940368,186344.12339606433
5,292.6105963753906,-83.5694974435868,186826.96207745085
5,300.0,-83.51968078133936,186209.78611843713
5,299.1874806783376,-83.53318231842961,186278.35183058435
5,300.0,-83.52004091019626,186210.5534158833
5,299.07287909133504,-83.55393463074299,186288.27873334198
5,300.0,-80.26517123339748,186211.07319257705
5,299.6640664735903,-83.51785067549064,186239.47695196714
5,299.1060563384349,-83.49247884160063,186287.11320223915
5,298.39028423552014,-83.53468020637686,186347.20860210486
5,300.0,-83.53675264651267,186212.7923620839
5,292.6105963753906,-83.53256595149475,186830.31301790196
5,300.0,-80.23053249708563,186213.17410444017
5,299.1874806783376,-83.51467453796762,186281.12192190439
5,300.0,-80.20273709290173,186213.38918308498
5,300.0,-80.2047059317055,186213.41858721134
5,299.0728790913351,-83.49419365969686,186290.88929730732
5,300.0,-80.2363144065866,186213.70928401462
5,299.1874806783376,-83.50964687035325,186281.79631767486
5,300.0,-83.49688551629784,186213.99265160813
5,300.0,-80.18711410610527,186214.06852046546
5,292.61059637539057,-83.5273631167908,186831.18228443174
5,300.0,-80.17639653176929,186214.25575391983
5,299.6640664735903,-83.50727626109749,186242.5157239663
5,298.39028423552014,-83.50115352781727,186348.98862650897
5,299.1874806783376,-83.47317232970595,186282.5327021734
5,299.6640664735903,-83.48723211175046,186242.94123842672
5,299.07287909133504,-83.51630334897122,186292.42338051886
5,292.6105963753906,-83.5581917104715,186832.36316556524
5,299.14228158006296,-83.52418368422443,186286.83251513925
56,245.7828561881924,-71.53082534936559,105840.01166158365
56,267.22186217854664,-70.97260623856882,104337.68709434266
56,259.33201088659115,-70.07945566129402,104905.89154536763
56,255.7878158605568,-70.28041454118083,105155.42133086236
56,255.51950482731075,-70.26701728252172,105174.3164699272
56,259.4432128423582,-69.5993872260088,104903.31902454124
56,257.8423016293274,-70.1352775723737,105021.73738241952
56,254.96526965611858,-68.51644215106312,105245.61402159341
56,253.68881127949004,-69.85616801697532,105358.42712521271
56,250.79001249871055,-71.53082534936559,105604.96581163166
56,265.6055383873631,-70.32507207004458,104568.09840240117
56,265.23203328051494,-68.51644215106312,104624.20746648121
56,255.28748694240383,-69.0188393507802,105317.87890523486
56,262.6614298859545,-69.40959272833793,104815.77449106707
56,259.622554513356,-69.85616801697532,105080.23490794926
56,258.91865454422486,-69.85616801697532,105138.50573072664
56,255.0716639988483,-69.50448997717336,105410.34610788227
56,255.81639002810192,-70.18775016878857,105367.56344712632
56,252.94117332452282,-71.46383905606997,105579.92038385593
56,254.5704115083343,-70.56510628768719,105472.81978429976
56,252.13725335242842,-70.56175697302243,105645.1211677679
56,257.7173294549296,-70.07945566129402,105256.90053455507
56,265.760979612183,-68.51644215106312,104705.17060799198
56,249.03632824312257,-70.63767477209082,105875.23884151396
56,269.0052226921029,-69.03558592410411,104485.60230555733
56,269.02630698063734,-68.72704705718452,104484.63775264936
56,249.2913190710109,-70.47746588729211,105858.89308895543
56,251.26851389759145,-70.39911983509178,105719.67275035885
56,254.88448632380303,-70.63856792266803,105466.0924793919
56,264.0645362538795,-69.1618550869663,104827.88487594441
56,269.69054184122905,-68.90217155662368,104440.71644095804
56,259.6045747612718,-69.46636361190534,105138.91994590155
56,262.7627117398809,-69.34955626297167,104919.98806264438
56,255.40740058533174,-69.96837005824537,105432.59731343595
56,257.1133804740325,-69.65326653458287,105313.7602512328
56,265.2574973947284,-69.00219325689623,104748.93132713091
56,263.08483622326105,-69.48327765096307,104900.1321417949
56,242.7077826609052,-71.08480827983891,106332.78094465048
56,262.76127975597706,-69.19088248072774,104923.63647515039
56,254.90496016207942,-70.41271247043966,105471.65151838146
56,259.4522114531858,-69.72831351183841,105153.54279623729
56,260.6106531569958,-69.68055228471867,105074.0460866649
56,259.50319117308817,-69.67110721736397,105151.31356047443
56,261.38908768384164,-69.55640435447746,105020.70285415044
56,265.6706669629692,-69.17071402425466,104724.6051684866
56,248.7910627365052,-70.7253151724859,105905.00966245348
56,259.2452957125671,-69.59398366501631,105170.0127709626
56,251.17610864512253,-70.50984259571833,105737.38017904237
56,256.4817274029638,-69.9873997477325,105364.48423907427
56,254.82670010785242,-70.24878584636309,105480.81800880568
56,250.27281931745765,-70.48416451662163,105801.63707975543
56,262.0197055065584,-69.26131856812806,104978.41460902568
